"file","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium"
"HCR-A_Ftrgt-0.5_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.5,130000,"A",FALSE,FALSE,54588.2549775101,52903.56,53890.821,0.26,0.2784,0.1958,0.2874,0.304,0.212,0.311,0.318565123834458,0.211520189602563,0.28660528707127
"HCR-A_Ftrgt-0.5_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.5,150000,"A",FALSE,FALSE,54778.1373,52417.2796,53634.0624,0.2007,0.2158,0.1338,0.2374,0.248,0.185,0.266,0.35048235798438,0.257746900403251,0.313484856155967
"HCR-A_Ftrgt-0.5_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.5,170000,"A",FALSE,FALSE,54885.0206,51888.0668,53378.5282,0.1507,0.1607,0.1014,0.18,0.184,0.185,0.231,0.368410424709826,0.301588282554362,0.335259612119189
"HCR-A_Ftrgt-0.5_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.5,190000,"A",FALSE,FALSE,54901.7522,51309.2724,53155.434,0.1143,0.1193,0.08,0.1386,0.135,0.185,0.183,0.374802274550337,0.343229027326656,0.349551963991669
"HCR-B_Ftrgt-0.1_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.1,110000,"B",FALSE,FALSE,35854.1137,18700.5098,32009.93,0.01035,0,0.0414,0,0,0.185,0,0.088552762583179,0.662203230392444,0.108348625722
"HCR-B_Ftrgt-0.1_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.1,130000,"B",FALSE,FALSE,35861.786,18477.0296,32066.418,0.01015,0,0.0406,0,0,0.185,0,0.088726489958864,0.70025280633831,0.107812093480953
"HCR-B_Ftrgt-0.1_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.1,150000,"B",FALSE,FALSE,35872.4489,18200.2766,32138.7756,0.01005,0,0.0402,0,0,0.185,0,0.0888327396271692,0.748275132108911,0.107249548929856
"HCR-B_Ftrgt-0.1_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.1,170000,"B",FALSE,FALSE,35882.4484,17955.5166,32206.2628,0.01005,0,0.0402,0,0,0.185,0,0.0889643958669934,0.791612247857947,0.106703267431861
"HCR-B_Ftrgt-0.1_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.1,190000,"B",FALSE,FALSE,35892.6915,17736.3034,32266.1042,0.00995,0,0.0398,0,0,0.185,0,0.0890927459083549,0.826394393286266,0.106258909414392
"HCR-B_Ftrgt-0.2_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.2,110000,"B",FALSE,FALSE,49512.8991,31889.1656,47353.6152,0.012,0,0.048,0,0,0.185,0,0.107441980282754,0.543628110667346,0.115953882383734
"HCR-B_Ftrgt-0.2_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.2,130000,"B",FALSE,FALSE,49526.9307,31689.8006,47427.5598,0.01155,0,0.0462,0,0,0.185,0,0.107836774327582,0.58302050256887,0.115489665674053
"HCR-B_Ftrgt-0.2_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.2,150000,"B",FALSE,FALSE,49545.2344,31403.4882,47551.198,0.0113,0,0.0452,0,0,0.185,0,0.108330925216077,0.628949315000448,0.1149920026043
"HCR-B_Ftrgt-0.2_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.2,170000,"B",FALSE,FALSE,49562.6127,31109.5924,47681.7926,0.0108,0,0.0432,0,0,0.185,0,0.108921084183302,0.670797182420418,0.115006631983544
"HCR-B_Ftrgt-0.2_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.2,190000,"B",FALSE,FALSE,49574.8852,30810.8458,47805.6028,0.01065,0,0.0426,0,0,0.185,0,0.109979176413581,0.705798609058595,0.115897864172236
"HCR-B_Ftrgt-0.3_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.3,110000,"B",FALSE,FALSE,53966.5978,41401.0102,53781.2266,0.02005,0.0061,0.0626,0.0054,0.008,0.185,0.006,0.136687332019822,0.493460634647376,0.1427870892604
"HCR-B_Ftrgt-0.3_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.3,130000,"B",FALSE,FALSE,53979.0322,41300.962,53826.3138,0.01825,0.0058,0.0556,0.0058,0.008,0.185,0.008,0.138339823348039,0.507290985961242,0.140988858596061
"HCR-B_Ftrgt-0.3_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.3,150000,"B",FALSE,FALSE,53976.7323,41071.6692,53905.008,0.01605,0.0046,0.0508,0.0042,0.007,0.185,0.005,0.143427696832189,0.539195839335835,0.142484946471315
"HCR-B_Ftrgt-0.3_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.3,170000,"B",FALSE,FALSE,53931.1507,40783.2258,53912.3922,0.0145,0.0033,0.0488,0.0026,0.007,0.185,0.004,0.154235320115292,0.574770165224508,0.150029951601017
"HCR-B_Ftrgt-0.3_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.3,190000,"B",FALSE,FALSE,53813.4102,40446.3574,53785.964,0.013,0.0016,0.0466,0.0022,0.004,0.185,0.004,0.169541097474843,0.605530975431765,0.161721420366587
"HCR-B_Ftrgt-0.35_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.35,110000,"B",FALSE,FALSE,54605.6814,45165.529,54842.5874,0.04175,0.0307,0.0792,0.0264,0.036,0.185,0.03,0.213474381841732,0.493250587927724,0.192702466083326
"HCR-B_Ftrgt-0.35_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.35,130000,"B",FALSE,FALSE,54607.3089,45094.885,54848.5598,0.03735,0.0281,0.0672,0.026,0.031,0.185,0.029,0.210639913490621,0.499605518540181,0.186665229220633
"HCR-B_Ftrgt-0.35_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.35,150000,"B",FALSE,FALSE,54565.0511,44883.0462,54816.3348,0.03065,0.0223,0.0566,0.0214,0.027,0.185,0.023,0.207654228118786,0.512122040927749,0.19144166069198
"HCR-B_Ftrgt-0.35_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.35,170000,"B",FALSE,FALSE,54508.6804,44593.7174,54587.2796,0.0257,0.0169,0.0532,0.0158,0.022,0.185,0.017,0.213925488199147,0.537522799529575,0.200337311404242
"HCR-B_Ftrgt-0.35_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.35,190000,"B",FALSE,FALSE,54413.5902,44210.5562,54223.9018,0.02045,0.0112,0.0494,0.01,0.015,0.185,0.014,0.224199651963751,0.567789455476841,0.214436049870788
"HCR-B_Ftrgt-0.37_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.37,110000,"B",FALSE,FALSE,54693.6622,46472.4086,54997.8692,0.0549,0.0462,0.0868,0.0404,0.054,0.185,0.044,0.269203139250024,0.507522176216108,0.23496108764417
"HCR-B_Ftrgt-0.37_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.37,130000,"B",FALSE,FALSE,54675.7253,46454.4888,54945.9512,0.0503,0.0445,0.0732,0.039,0.051,0.185,0.044,0.262352969646562,0.497745648958286,0.225111279883422
"HCR-B_Ftrgt-0.37_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.37,150000,"B",FALSE,FALSE,54651.5684,46241.7644,54832.4688,0.04165,0.0357,0.0614,0.0338,0.041,0.185,0.038,0.251142075808962,0.507273469568169,0.224527057434854
"HCR-B_Ftrgt-0.37_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.37,170000,"B",FALSE,FALSE,54606.2053,45942.6864,54540.5114,0.0321,0.0241,0.055,0.0252,0.03,0.185,0.028,0.251565519994545,0.527774442180439,0.229570361099729
"HCR-B_Ftrgt-0.37_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.37,190000,"B",FALSE,FALSE,54554.761,45540.6564,54109.8942,0.0251,0.0165,0.051,0.0164,0.02,0.185,0.021,0.253043946781256,0.55439482416571,0.2450496441266
"HCR-B_Ftrgt-0.4_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.4,110000,"B",FALSE,FALSE,54774.7709,48256.8228,54875.5486,0.0875,0.0848,0.1046,0.0758,0.106,0.185,0.082,0.400225796914511,0.520719480949546,0.330660494487666
"HCR-B_Ftrgt-0.4_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.4,130000,"B",FALSE,FALSE,54754.548,48303.2436,54747.5816,0.0782,0.0769,0.0852,0.0738,0.098,0.185,0.082,0.387907051170683,0.496697931441601,0.314008053116622
"HCR-B_Ftrgt-0.4_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.4,150000,"B",FALSE,FALSE,54747.7365,48116.9314,54573.2452,0.06415,0.0617,0.0696,0.0636,0.075,0.185,0.072,0.359565503497684,0.501319973942046,0.294236887790603
"HCR-B_Ftrgt-0.4_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.4,170000,"B",FALSE,FALSE,54730.8176,47796.9992,54217.8392,0.0491,0.0448,0.0582,0.0486,0.055,0.185,0.06,0.335609801895003,0.513651598164038,0.295907504919208
"HCR-B_Ftrgt-0.4_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.4,190000,"B",FALSE,FALSE,54680.26,47355.5932,53824.343,0.03635,0.029,0.0546,0.0328,0.038,0.185,0.043,0.316999977871549,0.537210147826728,0.292492481863775
"HCR-B_Ftrgt-0.5_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.5,110000,"B",FALSE,FALSE,54987.1807911739,52569.981,53894.9794,0.2317,0.2417,0.19,0.2534,0.269,0.261,0.304,1.00244494199768,0.579061037763547,0.843150679848084
"HCR-B_Ftrgt-0.5_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.5,130000,"B",FALSE,FALSE,54923.974,52893.22,53654.0424,0.2137,0.23,0.1532,0.2416,0.272,0.204,0.307,0.951205398643887,0.540806649954466,0.798354153397756
"HCR-B_Ftrgt-0.5_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.5,150000,"B",FALSE,FALSE,54860.5546,52917.2382,53304.6594,0.18115,0.1988,0.1142,0.2128,0.24,0.185,0.279,0.847200072565306,0.511031284392297,0.696646002153372
"HCR-B_Ftrgt-0.5_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.5,170000,"B",FALSE,FALSE,54870.5112,52595.7552,53163.6548,0.1456,0.1607,0.0904,0.1706,0.208,0.185,0.25,0.738582401149152,0.491376816801076,0.620808940174362
"HCR-B_Ftrgt-0.5_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.5,190000,"B",FALSE,FALSE,54855.0345,52039.8062,52972.1432,0.1134,0.1228,0.0738,0.1342,0.16,0.185,0.196,0.630807426720852,0.495781481946276,0.548647117519681
"HCR-C_Ftrgt-0.1_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.1,110000,"C",FALSE,FALSE,35840.5157,18939.0614,31932.123,0.01035,0,0.0414,0,0,0.185,0,0.0884580809696554,0.384509527399571,0.109341710281394
"HCR-C_Ftrgt-0.1_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.1,130000,"C",FALSE,FALSE,35850.8756,18667.6896,32007.862,0.01015,0,0.0406,0,0,0.185,0,0.0886515763173392,0.441552187589353,0.108472016560436
"HCR-C_Ftrgt-0.1_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.1,150000,"C",FALSE,FALSE,35863.1755,18356.9292,32094.1774,0.0101,0,0.0404,0,0,0.185,0,0.0889103226065867,0.506331015096609,0.107524231149242
"HCR-C_Ftrgt-0.1_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.1,170000,"C",FALSE,FALSE,35876.2674,18084.951,32168.482,0.01005,0,0.0402,0,0,0.185,0,0.0890935174128377,0.569730977507174,0.106914497983931
"HCR-C_Ftrgt-0.1_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.1,190000,"C",FALSE,FALSE,35886.2402,17842.6658,32236.5916,0.00995,0,0.0398,0,0,0.185,0,0.0892072031513581,0.629869756222436,0.106336089036834
"HCR-C_Ftrgt-0.2_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.2,110000,"C",FALSE,FALSE,49485.5936,32135.3048,47254.1318,0.0123,0,0.0492,0,0,0.185,0,0.106423909286423,0.296177749046072,0.116428881381484
"HCR-C_Ftrgt-0.2_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.2,130000,"C",FALSE,FALSE,49503.2188,31885.2798,47351.1136,0.0117,0,0.0468,0,0,0.185,0,0.107120526828734,0.35398210443213,0.115586042677578
"HCR-C_Ftrgt-0.2_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.2,150000,"C",FALSE,FALSE,49527.3988,31562.8762,47486.4192,0.01125,0,0.045,0,0,0.185,0,0.107794311528912,0.418075584849134,0.114987087488013
"HCR-C_Ftrgt-0.2_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.2,170000,"C",FALSE,FALSE,49547.5354,31243.006,47629.948,0.0108,0,0.0432,0,0,0.185,0,0.108530479883292,0.479296163986601,0.115027633589977
"HCR-C_Ftrgt-0.2_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.2,190000,"C",FALSE,FALSE,49562.1369,30917.5756,47766.5792,0.0106,0,0.0424,0,0,0.185,0,0.109747723502061,0.536211631867481,0.115905385388106
"HCR-C_Ftrgt-0.3_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.3,110000,"C",FALSE,FALSE,53944.9365,41630.9288,53679.4322,0.02295,0.0066,0.0718,0.0068,0.009,0.185,0.01,0.128550235309809,0.228985433664331,0.131236686659273
"HCR-C_Ftrgt-0.3_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.3,130000,"C",FALSE,FALSE,53961.9494,41406.6128,53807.1256,0.01965,0.0062,0.06,0.0062,0.009,0.185,0.008,0.131886230575516,0.285557119097418,0.132730262476093
"HCR-C_Ftrgt-0.3_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.3,150000,"C",FALSE,FALSE,53963.2327,41118.9614,53917.2916,0.0166,0.0048,0.0526,0.0042,0.008,0.185,0.006,0.139094744550671,0.347329462847953,0.137461486633972
"HCR-C_Ftrgt-0.3_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.3,170000,"C",FALSE,FALSE,53920.4594,40801.9888,53935.7936,0.01475,0.0035,0.0492,0.0028,0.008,0.185,0.004,0.151456101589861,0.405735984459018,0.146089828311012
"HCR-C_Ftrgt-0.3_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.3,190000,"C",FALSE,FALSE,53811.5918,40430.1784,53822.7174,0.01325,0.0018,0.0472,0.0022,0.004,0.185,0.004,0.167436316588475,0.459519704076082,0.159086493647184
"HCR-C_Ftrgt-0.35_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.35,110000,"C",FALSE,FALSE,54606.8504,45413.4796,54822.1098,0.0513,0.0374,0.0964,0.034,0.042,0.185,0.037,0.144664052080517,0.204057614966771,0.143969763673671
"HCR-C_Ftrgt-0.35_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.35,130000,"C",FALSE,FALSE,54602.2807,45149.4982,54954.43,0.04205,0.0318,0.0758,0.0288,0.041,0.185,0.032,0.156063715516324,0.259766837954459,0.150605458791732
"HCR-C_Ftrgt-0.35_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.35,150000,"C",FALSE,FALSE,54580.0748,44840.2598,54927.6398,0.0327,0.0239,0.061,0.022,0.032,0.185,0.026,0.174646059052576,0.319112720162422,0.163300590910291
"HCR-C_Ftrgt-0.35_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.35,170000,"C",FALSE,FALSE,54515.8811,44488.5102,54720.3184,0.0264,0.0175,0.0552,0.0154,0.021,0.185,0.017,0.196271136836778,0.375053806010892,0.181314498132217
"HCR-C_Ftrgt-0.35_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.35,190000,"C",FALSE,FALSE,54427.3924,44067.7454,54353.133,0.0201,0.0104,0.0504,0.0092,0.015,0.185,0.012,0.216343252191977,0.426769703990885,0.20230482619405
"HCR-C_Ftrgt-0.37_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.37,110000,"C",FALSE,FALSE,54705.8269,46758.5142,55016.9532,0.0693,0.0578,0.1088,0.0528,0.066,0.185,0.058,0.153775500832656,0.195714092502092,0.151572171180948
"HCR-C_Ftrgt-0.37_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.37,130000,"C",FALSE,FALSE,54702.7472,46468.5704,55121.8028,0.05805,0.0507,0.0854,0.0454,0.057,0.185,0.049,0.170208494579545,0.250682871728033,0.161225446412883
"HCR-C_Ftrgt-0.37_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.37,150000,"C",FALSE,FALSE,54685.0487,46138.9498,55018.2804,0.04465,0.0376,0.0672,0.0362,0.043,0.185,0.041,0.193101436357733,0.308592884389355,0.177760727938822
"HCR-C_Ftrgt-0.37_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.37,170000,"C",FALSE,FALSE,54644.3829,45772.202,54713.283,0.03355,0.0247,0.0578,0.027,0.03,0.185,0.033,0.216846316709519,0.363456998770688,0.199833910243265
"HCR-C_Ftrgt-0.37_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.37,190000,"C",FALSE,FALSE,54582.0439,45330.884,54290.5584,0.0255,0.0164,0.0524,0.0168,0.02,0.185,0.019,0.236910367711549,0.414182720488087,0.222330656556254
"HCR-C_Ftrgt-0.4_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.4,110000,"C",FALSE,FALSE,54742.9793,48625.5386,55048.695,0.1138,0.1097,0.136,0.0998,0.13,0.185,0.109,0.171986006428876,0.185428749561709,0.166185886532069
"HCR-C_Ftrgt-0.4_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.4,130000,"C",FALSE,FALSE,54759.7725,48287.7984,55082.32,0.0922,0.0896,0.1024,0.0872,0.108,0.185,0.098,0.196371641669308,0.23902464534415,0.181803215218428
"HCR-C_Ftrgt-0.4_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.4,150000,"C",FALSE,FALSE,54778.7996,47924.787,54870.337,0.0709,0.0676,0.0776,0.0708,0.078,0.185,0.081,0.224393203932274,0.294753722445705,0.204256552049215
"HCR-C_Ftrgt-0.4_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.4,170000,"C",FALSE,FALSE,54789.459,47525.0128,54474.5594,0.05085,0.0458,0.0624,0.0494,0.054,0.185,0.065,0.249116894999325,0.34753570410667,0.230077328647149
"HCR-C_Ftrgt-0.4_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.4,190000,"C",FALSE,FALSE,54749.2211,47042.9246,54047.7516,0.0374,0.0292,0.0568,0.0344,0.037,0.185,0.047,0.268085836578208,0.396532623711339,0.252360765353891
"HCR-C_Ftrgt-0.5_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.5,110000,"C",FALSE,FALSE,54384.0980630234,53396.3658,53978.0734,0.3241,0.337,0.277,0.3454,0.362,0.321,0.352,0.275786874716644,0.165280808468095,0.257117838321047
"HCR-C_Ftrgt-0.5_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.5,130000,"C",FALSE,FALSE,54588.0696775101,52903.56,53890.821,0.26,0.2784,0.1958,0.2874,0.304,0.212,0.311,0.318223785595126,0.211520189602563,0.28660528707127
"HCR-C_Ftrgt-0.5_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.5,150000,"C",FALSE,FALSE,54777.763,52417.2796,53634.1766,0.2007,0.2158,0.1338,0.2374,0.248,0.185,0.266,0.349970725862843,0.257746900403251,0.313475032500053
"HCR-C_Ftrgt-0.5_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.5,170000,"C",FALSE,FALSE,54884.4972,51888.0668,53378.661,0.1507,0.1607,0.1014,0.18,0.184,0.185,0.231,0.36770161131266,0.301588282554362,0.335245931270317
"HCR-C_Ftrgt-0.5_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.5,190000,"C",FALSE,FALSE,54901.3106,51309.2724,53155.4252,0.11425,0.1192,0.08,0.1386,0.135,0.185,0.183,0.373907571781688,0.343229027326656,0.349389019222498
